iter	Passed	Remaining
834	21520	4252
835	21549	4227
836	21576	4201
837	21603	4176
838	21629	4150
839	21656	4125
840	21681	4099
841	21705	4073
842	21730	4047
843	21755	4021
844	21781	3995
845	21806	3969
846	21831	3943
847	21858	3918
848	21883	3892
849	21907	3866
850	21931	3839
851	21955	3813
852	21979	3787
853	22002	3761
854	22027	3735
855	22051	3709
856	22075	3683
857	22099	3657
858	22123	3631
859	22147	3605
860	22172	3579
861	22195	3553
862	22219	3527
863	22244	3501
864	22272	3476
865	22300	3450
866	22326	3424
867	22353	3399
868	22380	3373
869	22406	3348
870	22433	3322
871	22458	3296
872	22484	3270
873	22508	3244
874	22533	3219
875	22557	3193
876	22581	3167
877	22605	3141
878	22630	3115
879	22654	3089
880	22678	3063
881	22702	3037
882	22727	3011
883	22751	2985
884	22775	2959
885	22799	2933
886	22823	2907
887	22847	2881
888	22871	2855
889	22895	2829
890	22919	2803
891	22943	2777
892	22967	2751
893	22991	2726
894	23014	2700
895	23039	2674
896	23063	2648
897	23087	2622
898	23111	2596
899	23135	2570
900	23160	2544
901	23184	2518
902	23209	2493
903	23233	2467
904	23258	2441
905	23282	2415
906	23305	2389
907	23330	2363
908	23355	2338
909	23380	2312
910	23404	2286
911	23427	2260
912	23452	2234
913	23477	2209
914	23503	2183
915	23529	2157
916	23554	2131
917	23578	2106
918	23602	2080
919	23626	2054
920	23650	2028
921	23674	2002
922	23698	1977
923	23723	1951
924	23747	1925
925	23771	1899
926	23796	1873
927	23819	1848
928	23843	1822
929	23868	1796
930	23892	1770
931	23916	1744
932	23940	1719
933	23965	1693
934	23988	1667
935	24012	1641
936	24037	1616
937	24060	1590
938	24084	1564
939	24107	1538
940	24131	1513
941	24155	1487
942	24180	1461
943	24204	1435
944	24228	1410
945	24253	1384
946	24277	1358
947	24301	1333
948	24325	1307
949	24351	1281
950	24375	1255
951	24400	1230
952	24424	1204
953	24448	1178
954	24472	1153
955	24496	1127
956	24520	1101
957	24545	1076
958	24569	1050
959	24595	1024
960	24621	999
961	24646	973
962	24670	947
963	24694	922
964	24717	896
965	24741	870
966	24766	845
967	24790	819
968	24815	793
969	24839	768
970	24863	742
971	24886	716
972	24910	691
973	24933	665
974	24960	640
975	24987	614
976	25013	588
977	25039	563
978	25065	537
979	25094	512
980	25120	486
981	25144	460
982	25169	435
983	25192	409
984	25217	384
985	25242	358
986	25266	332
987	25290	307
988	25323	281
989	25348	256
990	25372	230
991	25395	204
992	25420	179
993	25444	153
994	25467	127
995	25492	102
996	25516	76
997	25540	51
998	25564	25
999	25589	0
